name,code,barcode_symbology,brand,category_code,unit,sale_unit,purchase_unit,cost,price,alert_quantity,tax_rate,tax_method,image,subcategory_code,variants,mrp,hsn_code,warehouse,quantity
Studds Shifter Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2165,,18%GST,Inclusive,,,,2165,,Ware house 1-1,0
Studds Ninja Elite Super Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1475,,18%GST,Inclusive,,,,1475,,Ware house 1-1,0
Vega Cliff DX Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,980,,18%GST,Inclusive,,,,980,,Ware house 1-1,0
Vega Cliff Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,890,,18%GST,Inclusive,,,,890,,Ware house 1-1,0
Vega Crux Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1250,,18%GST,Inclusive,,,,1250,,Ware house 1-1,0
Vega Boolean Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1772,,18%GST,Inclusive,,,,1772,,Ware house 1-1,0
Vega Verve Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1250,,18%GST,Inclusive,,,,1250,,Ware house 1-1,0
MX9 Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,849,,18%GST,Inclusive,,,,849,,Ware house 1-1,0
Steelbird Frost Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,949,,18%GST,Inclusive,,,,949,,Ware house 1-1,0
Steelbird SBA2 Dashing Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2449,,18%GST,Inclusive,,,,2449,,Ware house 1-1,0
Steelbird SBA2 Graphics Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2999,,18%GST,Inclusive,,,,2999,,Ware house 1-1,0
Steelbird SBA1 Dunkin Graphics Full Face Helmet ,,code128,,HA1,pcs,pcs,pcs,0,1999,,18%GST,Inclusive,,,,1999,,Ware house 1-1,0
Steelbird Bargy Off Road Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2899,,18%GST,Inclusive,,,,2899,,Ware house 1-1,0
Steelbird Bang Off Road Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2379,,18%GST,Inclusive,,,,2379,,Ware house 1-1,0
Steelbird Air Anthracite Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1679,,18%GST,Inclusive,,,,1679,,Ware house 1-1,0
Steelbird HiGn Vision Yellow Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1650,,18%GST,Inclusive,,,,1650,,Ware house 1-1,0
Axor Stealth White Blue Glossy Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,5993,,18%GST,Inclusive,,,,5993,,Ware house 1-1,0
Axor Stealth Blue Yellow Matt Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,5993,,18%GST,Inclusive,,,,5993,,Ware house 1-1,0
Axor Black Orange Matt Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,5993,,18%GST,Inclusive,,,,5993,,Ware house 1-1,0
THH TS81 Blue Red Matt Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,4508,,18%GST,Inclusive,,,,4508,,Ware house 1-1,0
THH CFK Black Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,7150,,18%GST,Inclusive,,,,7150,,Ware house 1-1,0
THH TS43 Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,4576,,18%GST,Inclusive,,,,4576,,Ware house 1-1,0
MotoTech Scrambler Air Riding Jacket Black Large,,code128,,HA2,pcs,pcs,pcs,0,6450,, 12%GST,Inclusive,,,,6450,,Ware house 1-1,0
 MotoTech Scrambler Air Riding Jacket Black XL,,code128,,HA2,pcs,pcs,pcs,0,6450,, 12%GST,Inclusive,,,,6450,,Ware house 1-1,0
 MotoTech Scrambler Air Riding Jacket Fluro Green L,,code128,,HA2,pcs,pcs,pcs,0,6450,, 12%GST,Inclusive,,,,6450,,Ware house 1-1,0
 MotoTech Scrambler Air Riding Jacket Fluro Green M,,code128,,HA2,pcs,pcs,pcs,0,6450,, 12%GST,Inclusive,,,,6450,,Ware house 1-1,0
MotoTech TourPro Riding Jacket M,,code128,,HA2,pcs,pcs,pcs,0,9450,, 12%GST,Inclusive,,,,9450,,Ware house 1-1,0
MotoTech TourPro Riding Jacket L,,code128,,HA2,pcs,pcs,pcs,0,9450,, 12%GST,Inclusive,,,,9450,,Ware house 1-1,0
BBG Riding Pant,,code128,,HA2,pcs,pcs,pcs,0,7500,, 12%GST,Inclusive,,,,7500,,Ware house 1-1,0
Rynox Gloves Shield Pro with SPS ,,code128,,HA2,pcs,pcs,pcs,0,2650,, 12%GST,Inclusive,,,,2650,,Ware house 1-1,0
Rynox Gloves Shield Pro,,code128,,HA2,pcs,pcs,pcs,0,2450,, 12%GST,Inclusive,,,,2450,,Ware house 1-1,0
Rynox Gloves Scout Black,,code128,,HA2,pcs,pcs,pcs,0,1950,, 12%GST,Inclusive,,,,1950,,Ware house 1-1,0
Rynox Gloves Scout Brown,,code128,,HA2,pcs,pcs,pcs,0,1950,, 12%GST,Inclusive,,,,1950,,Ware house 1-1,0
Rynox Gloves Inferno Pro,,code128,,HA2,pcs,pcs,pcs,0,3650,, 12%GST,Inclusive,,,,3650,,Ware house 1-1,0
Rynox Riding Pants Advento ,,code128,,HA2,pcs,pcs,pcs,0,7850,, 12%GST,Inclusive,,,,7850,,Ware house 1-1,0
Rynox Riding Pants Airtex,,code128,,HA2,pcs,pcs,pcs,0,6450,, 12%GST,Inclusive,,,,6450,,Ware house 1-1,0
Rynox Riding Jacket Air GT v2.0 Level 2 Black White,,code128,,HA2,pcs,pcs,pcs,0,5999,, 12%GST,Inclusive,,,,5999,,Ware house 1-1,0
Rynox Riding Jacket Air GT v2.0 Level 2 Black Orange,,code128,,HA2,pcs,pcs,pcs,0,5999,, 12%GST,Inclusive,,,,5999,,Ware house 1-1,0
Rynox Riding Jacket Air GT v2.0 Level 2 Black Red,,code128,,HA2,pcs,pcs,pcs,0,5999,, 12%GST,Inclusive,,,,5999,,Ware house 1-1,0
Rynox Riding Jacket Urban Brown,,code128,,HA2,pcs,pcs,pcs,0,6850,, 12%GST,Inclusive,,,,6850,,Ware house 1-1,0
Rynox Riding Jacket Urban Battle Green,,code128,,HA2,pcs,pcs,pcs,0,6850,, 12%GST,Inclusive,,,,6850,,Ware house 1-1,0
Rynox Riding Jacket Tornado Pro Level 2 Black White,,code128,,HA2,pcs,pcs,pcs,0,7950,, 12%GST,Inclusive,,,,7950,,Ware house 1-1,0
Rynox Riding Jacket Tornado Pro Level 2 Black Red,,code128,,HA2,pcs,pcs,pcs,0,7950,, 12%GST,Inclusive,,,,7950,,Ware house 1-1,0
Rynox Riding Jacket Tornado Pro Level 2 Black Fluro Orange,,code128,,HA2,pcs,pcs,pcs,0,7950,, 12%GST,Inclusive,,,,7950,,Ware house 1-1,0
Rynox Riding Jacket Tornado ProLevel 2 Black Fluro,,code128,,HA2,pcs,pcs,pcs,0,7950,, 12%GST,Inclusive,,,,7950,,Ware house 1-1,0
Rynox Riding Jacket Tornado Pro Level 2 Black Grey,,code128,,HA2,pcs,pcs,pcs,0,7950,, 12%GST,Inclusive,,,,7950,,Ware house 1-1,0
Rynox Riding Jacket Storm L2 Beige,,code128,,HA2,pcs,pcs,pcs,0,9450,, 12%GST,Inclusive,,,,9450,,Ware house 1-1,0
Rynox Riding Jacket Storm L2 Knight Grey,,code128,,HA2,pcs,pcs,pcs,0,9450,, 12%GST,Inclusive,,,,9450,,Ware house 1-1,0
Rynox Riding Jacket Stealth Evo V3 Black,,code128,,HA2,pcs,pcs,pcs,0,11550,, 12%GST,Inclusive,,,,11550,,Ware house 1-1,0
Rynox Riding Jacket Stealth Evo V3 Grey,,code128,,HA2,pcs,pcs,pcs,0,11550,, 12%GST,Inclusive,,,,11550,,Ware house 1-1,0
Sunco Action Camera,,code128,,HA3,pcs,pcs,pcs,0,7990,,,Inclusive,,,,7990,,Ware house 1-1,0
Lifestraw Water Bottle,,code128,,HA3,pcs,pcs,pcs,0,1990,,,Inclusive,,,,1990,,Ware house 1-1,0
MotoTech Balaclava,,code128,,HA3,pcs,pcs,pcs,0,350,,,Inclusive,,,,350,,Ware house 1-1,0
MotoTech Bungee Net,,code128,,HA3,pcs,pcs,pcs,0,450,,,Inclusive,,,,450,,Ware house 1-1,0
Helmet Cleaner ProTech,,code128,,HA3,pcs,pcs,pcs,0,149,,,Inclusive,,,,149,,Ware house 1-1,0
MotoTech Hexapod Bungee,,code128,,HA3,pcs,pcs,pcs,0,499,,,Inclusive,,,,499,,Ware house 1-1,0
Ignyte Balaclava,,code128,,HA3,pcs,pcs,pcs,0,579,,,Inclusive,,,,579,,Ware house 1-1,0
Motul Chain Cleaner C1 Large,,code128,,HA3,pcs,pcs,pcs,0,495,,,Inclusive,,,,495,,Ware house 1-1,0
Motul Chain Cleaner C1 Small,,code128,,HA3,pcs,pcs,pcs,0,210,,,Inclusive,,,,210,,Ware house 1-1,0
Motul Chain Lube C2 Large,,code128,,HA3,pcs,pcs,pcs,0,545,,,Inclusive,,,,545,,Ware house 1-1,0
Motul Chain Lube C2 Small,,code128,,HA3,pcs,pcs,pcs,0,230,,,Inclusive,,,,230,,Ware house 1-1,0
HairGuard,,code128,,HA3,pcs,pcs,pcs,0,99,,,Inclusive,,,,99,,Ware house 1-1,0
Ignyte Waterproof Gloves,,code128,,HA3,pcs,pcs,pcs,0,1199,,,Inclusive,,,,1199,,Ware house 1-1,0
Quipco Warm Gloves,,code128,,HA3,pcs,pcs,pcs,0,599,,,Inclusive,,,,599,,Ware house 1-1,0
Studds Riding Goggle,,code128,,HA3,pcs,pcs,pcs,0,295,,,Inclusive,,,,295,,Ware house 1-1,0
SafeTech MotoTech Armout Insert Shoulder/Elbow/Knee,,code128,,HA3,pcs,pcs,pcs,0,690,,,Inclusive,,,,690,,Ware house 1-1,0
SafeTech MotoTech Armout Insert Back,,code128,,HA3,pcs,pcs,pcs,0,990,,,Inclusive,,,,990,,Ware house 1-1,0
Coleman Bungee Chord,,code128,,HA3,pcs,pcs,pcs,0,625,,,Inclusive,,,,625,,Ware house 1-1,0
MotoCom Bluetooth Set,,code128,,HA3,pcs,pcs,pcs,0,2299,,,Inclusive,,,,2299,,Ware house 1-1,0
Roadgods Ghost Backack Premium,,code128,,HA3,pcs,pcs,pcs,0,2349,,,Inclusive,,,,2349,,Ware house 1-1,0
Studds Helmet Backpack,,code128,,HA3,pcs,pcs,pcs,0,980,,,Inclusive,,,,980,,Ware house 1-1,0
Wildcraft Hydrator Hydration Backpack 2L,,code128,,HA3,pcs,pcs,pcs,0,1599,,,Inclusive,,,,1599,,Ware house 1-1,0
100Kmph T-Shirt,,code128,,HA3,pcs,pcs,pcs,0,500,,,Inclusive,,,,500,,Ware house 1-1,0
Supervek Paper Wallet,,code128,,HA3,pcs,pcs,pcs,0,499,,,Inclusive,,,,499,,Ware house 1-1,0
Quipco Embriodery Flagpatch,,code128,,HA3,pcs,pcs,pcs,0,170,,,Inclusive,,,,170,,Ware house 1-1,0
Muc Off Bike Cleaner,,code128,,HA3,pcs,pcs,pcs,0,675,,,Inclusive,,,,675,,Ware house 1-1,0
Quipco Hi Viz Suspenders,,code128,,HA3,pcs,pcs,pcs,0,599,,,Inclusive,,,,599,,Ware house 1-1,0
Manas Tankbag,,code128,,HA3,pcs,pcs,pcs,0,3300,,,Inclusive,,,,3300,,Ware house 1-1,0
Manas Royal Enfield Waterbag,,code128,,HA3,pcs,pcs,pcs,0,1350,,,Inclusive,,,,1350,,Ware house 1-1,0
Studds Vaultbox,,code128,,HA3,pcs,pcs,pcs,0,690,,,Inclusive,,,,690,,Ware house 1-1,0
Studds Top Box,,code128,,HA3,pcs,pcs,pcs,0,1150,,,Inclusive,,,,1150,,Ware house 1-1,0
SMK Twister Clear Visor,,code128,,HA3,pcs,pcs,pcs,0,450,,,Inclusive,,,,450,,Ware house 1-1,0
SMK Twister Mirror/Tinted Visor,,code128,,HA3,pcs,pcs,pcs,0,500,,,Inclusive,,,,500,,Ware house 1-1,0
SMK Force Mirror Visor,,code128,,HA3,pcs,pcs,pcs,0,500,,,Inclusive,,,,500,,Ware house 1-1,0
EMD Horseshoe Tailbag,,code128,,HA3,pcs,pcs,pcs,0,2750,,,Inclusive,,,,2750,,Ware house 1-1,0
Quipco Trackpants,,code128,,HA3,pcs,pcs,pcs,0,1599,,,Inclusive,,,,1599,,Ware house 1-1,0
100Kmph Vinyl,,code128,,HA3,pcs,pcs,pcs,0,50,,,Inclusive,,,,50,,Ware house 1-1,0
100Kmph Keychain,,code128,,HA3,pcs,pcs,pcs,0,100,,,Inclusive,,,,100,,Ware house 1-1,0
100Kmph Badge,,code128,,HA3,pcs,pcs,pcs,0,50,,,Inclusive,,,,50,,Ware house 1-1,0
Manas Saddlebag,,code128,,HA3,pcs,pcs,pcs,0,4500,,,Inclusive,,,,4500,,Ware house 1-1,0
Rynox Saddle Bag Nomad v2.1 With Raincover,,code128,,HA3,pcs,pcs,pcs,0,4899,,,Inclusive,,,,4899,,Ware house 1-1,0
Rynox Saddle Bag DryStack,,code128,,HA3,pcs,pcs,pcs,0,3450,,,Inclusive,,,,3450,,Ware house 1-1,0
Rynox Tailbag Expedition Trail Bag 37ltrs,,code128,,HA3,pcs,pcs,pcs,0,3850,,,Inclusive,,,,3850,,Ware house 1-1,0
Rynox Tailbag Expedition Dry Bag 15 ltrs,,code128,,HA3,pcs,pcs,pcs,0,1250,,,Inclusive,,,,1250,,Ware house 1-1,0
Rynox Tank/Tail Bag Suction Optimus-S,,code128,,HA3,pcs,pcs,pcs,0,3250,,,Inclusive,,,,3250,,Ware house 1-1,0
Rynox Tank/Tail Bag Magnetic Navigator v3.0,,code128,,HA3,pcs,pcs,pcs,0,1999,,,Inclusive,,,,1999,,Ware house 1-1,0
Rynox Waistpack Aquapouch ,,code128,,HA3,pcs,pcs,pcs,0,1350,,,Inclusive,,,,1350,,Ware house 1-1,0
Roadgods Ghost Daring Texture Backpack,,code128,,HA3,pcs,pcs,pcs,0,2299,,,Inclusive,,,,2299,,Ware house 1-1,0
Roadgods R1 Tankbag,,code128,,HA3,pcs,pcs,pcs,0,1699,,,Inclusive,,,,1699,,Ware house 1-1,0
Roadgods Rudra Backpack,,code128,,HA3,pcs,pcs,pcs,0,1799,,,Inclusive,,,,1799,,Ware house 1-1,0
Roadgods R2  MagneticTankbag,,code128,,HA3,pcs,pcs,pcs,0,1599,,,Inclusive,,,,1599,,Ware house 1-1,0
Roadgods X1 Saddlebag 75Ltr,,code128,,HA3,pcs,pcs,pcs,0,4199,,,Inclusive,,,,4199,,Ware house 1-1,0
Roadgods X2 Saddlebag 50Ltr,,code128,,HA3,pcs,pcs,pcs,0,3499,,,Inclusive,,,,3499,,Ware house 1-1,0
Fego Float Black/ Universal 100% Leather Bike Seat Cover,,code128,,HA3,pcs,pcs,pcs,0,2199,,,Inclusive,,,,2199,,Ware house 1-1,0
